PIESReferenceFieldCodeId|PIESFieldId|PIESCodeId|PIESExpiCodeId|ReferenceNotes
1914|118|582|50|
1915|118|581|50|
1916|118|580|50|
1917|118|579|50|
1918|118|578|50|
1919|66|570||
1920|66|571||
1921|86|194|43|Supplier Method of Calculation for Standard Codes Description
1922|86|53|43|Supplier Method of Calculation for Standard Codes Description
1923|119|447||
1924|119|237||
1925|112|593||
1926|35|593||
1927|20|593||
1928|91|593|33|
1929|90|593|32|
1930|89|593|31|
1931|64|593|30|
1932|65|593|29|
1933|112|591||
1934|35|591||
1935|20|591||
1936|91|591|33|
1937|90|591|32|
1938|89|591|31|
1939|64|591|30|
1940|65|591|29|
1941|91|595|33|
1942|90|595|32|
1943|89|595|31|
1944|64|595|30|
1945|65|595|29|
1946|91|695|33|
1947|90|695|32|
1948|89|695|31|
1949|65|695|29|
1950|64|695|30|
1951|91|694|33|
1952|90|694|32|
1953|89|694|31|
1954|64|694|30|
1955|65|694|29|
1956|91|693|33|
1957|90|693|32|
1958|89|693|31|
1959|64|693|30|
1960|65|693|29|
1961|91|692|33|
1962|90|692|32|
1963|89|692|31|
1964|64|692|30|
1965|65|692|29|
1966|91|691|33|
1967|90|691|32|
1968|89|691|31|
1969|64|691|30|
1970|65|691|29|
1971|91|690|33|
1972|90|690|32|
1973|64|690|30|
1974|65|690|29|
1975|89|690|31|
1976|91|689|33|
1977|90|689|32|
1978|89|689|31|
1979|64|689|30|
1980|65|689|29|
1981|91|688|33|
1982|90|688|32|
1983|89|688|31|
1984|64|688|30|
1985|65|688|29|
1986|91|687|33|
1987|90|687|32|
1988|89|687|31|
1989|64|687|30|
1990|65|687|29|
1991|65|686|29|
1992|64|686|30|
1993|89|686|31|
1994|90|686|32|
1995|91|686|33|
1996|65|685|29|
1997|64|685|30|
1998|89|685|31|
1999|90|685|32|
2000|91|685|33|
2001|65|684|29|
2002|64|684|30|
2003|89|684|31|
2004|90|684|32|
2005|91|684|33|
2006|65|683|29|
2007|64|683|30|
2008|89|683|31|
2009|90|683|32|
2010|91|683|33|
2011|91|682|33|
2012|90|682|32|
2013|89|682|31|
2014|64|682|30|
2015|65|682|29|
2016|91|681|33|
2017|90|681|32|
2018|89|681|31|
2019|64|681|30|
2020|65|681|29|
2021|65|680|29|
2022|64|680|30|
2023|89|680|31|
2024|90|680|32|
2025|91|680|33|
2026|65|679|29|
2027|64|679|30|
2028|89|679|31|
2029|90|679|32|
2030|91|679|33|
2031|91|678|33|
2032|90|678|32|
2033|89|678|31|
2034|64|678|30|
2035|65|678|29|
2036|65|677|29|
2037|64|677|30|
2038|89|677|31|
2039|90|677|32|
2040|91|677|33|
2041|65|676|29|
2042|64|676|30|
2043|89|676|31|
2044|90|676|32|
2045|91|676|33|
2046|91|592|33|
2047|90|592|32|
2048|89|592|31|
2049|64|592|30|
2050|65|592|29|
2051|91|670|33|
2052|90|670|32|
2053|89|670|31|
2054|64|670|30|
2055|65|670|29|
2056|91|671|33|
2057|90|671|32|
2058|89|671|31|
2059|64|671|30|
2060|65|671|29|
2061|91|672|33|
2062|90|672|32|
2063|89|672|31|
2064|64|672|30|
2065|65|672|29|
2066|91|673|33|
2067|90|673|32|
2068|89|673|31|
2069|64|673|30|
2070|65|673|29|
2071|91|674|33|
2072|90|674|32|
2073|89|674|31|
2074|64|674|30|
2075|65|674|29|
2076|91|675|33|
2077|90|675|32|
2078|89|675|31|
2079|64|675|30|
2080|65|675|29|
2081|65|668|29|
2082|64|668|30|
2083|89|668|31|
2084|90|668|32|
2085|91|668|33|
2086|91|667|33|
2087|90|667|32|
2088|89|667|31|
2089|64|667|30|
