"BrandID"|"BrandName"|"BrandOEMFlag"|"ParentID"|"ParentCompany"|"SubBrandID"|"SubBrand"|"Revision Date"
"BBDL"|"AP Exhaust"|"False"|"BDGS"|"AP Emissions Technologies"|"LFKF"|"300 Series"|"Aug 01, 2025"
"BBDM"|"APA - Archived"|"False"|"HYYW"|"Archived Brands"|""|""|"Feb 04, 2021"
"BBDN"|"API"|"False"|"BDGV"|"Automotive Products Inc - API"|""|""|"Jul 12, 2007"
"BBDP"|"Aragon"|"False"|"BDGW"|"Aragon Engineering Inc"|""|""|"Jul 12, 2007"
"BBDQ"|"ARC"|"False"|"BDGX"|"ARC Remanufacturing Inc"|""|""|"May 25, 2021"
"BBDR"|"ARIES"|"False"|"FFHT"|"Lippert Components"|""|""|"May 08, 2023"
"BBDS"|"DNS"|"False"|"BDHB"|"Armatures DNS 2000 Inc"|""|""|"Apr 27, 2022"
"BBDT"|"Armstrong"|"False"|"GNGC"|"Apex Tool Group LLC"|""|""|"Feb 19, 2024"
"BBDV"|"ARS"|"False"|"BDHK"|"ARS Inc"|""|""|"Jul 12, 2007"
"BBDW"|"ASC"|"False"|"HWGW"|"First Brands Group"|""|""|"Aug 18, 2025"
"BBDX"|"Astro"|"False"|"BDHQ"|"Astro Rebuilding Corporation"|""|""|"Jul 12, 2007"
"BBDZ"|"ATK"|"False"|"DMQS"|"LKQ Corporation"|"DXWN"|"Spartan Engines"|"May 03, 2022"
"BBDZ"|"ATK"|"False"|"DMQS"|"LKQ Corporation"|"FVJM"|"Professional Powertrain"|"May 03, 2022"
"BBFB"|"ATP"|"False"|"GCQP"|"LODI Group"|""|""|"Oct 14, 2021"
"BBFC"|"Atsco"|"False"|"BGRT"|"TERREPOWER"|""|""|"Feb 26, 2025"
"BBFD"|"Auto Saver"|"False"|"BDJB"|"Auto Saver Products"|""|""|"Feb 06, 2013"
"BBFF"|"Auto Ventshade AVS"|"False"|"FGTR"|"RealTruck Inc"|"KBVY"|"Aeroskin"|"Nov 05, 2024"
"BBFG"|"Autoline"|"False"|"BDJH"|"Autoline Industries Inc"|""|""|"Jul 12, 2007"
"BBFH"|"AutoLine Products"|"False"|"BDJJ"|"Autoline Products Ltd"|""|""|"Apr 27, 2022"
"BBFJ"|"Calistar"|"False"|"BDJJ"|"Autoline Products Ltd"|""|""|"Apr 27, 2022"
"BBFK"|"Automan"|"False"|"BDJK"|"Automann USA Inc"|""|""|"Apr 25, 2023"
"BBFL"|"Automotive Accessory"|"False"|"BDJM"|"Automotive Accessory Company"|""|""|"Jul 12, 2007"
"BBFM"|"Automotive Air International"|"False"|"BDJN"|"Automotive Air International Inc"|""|""|"May 25, 2021"
"BBFN"|"Automotive Exchange Services"|"False"|"BDJQ"|"Automotive Exchange Services Inc"|""|""|"Jul 12, 2007"
"BBFP"|"Automotive Resource"|"False"|"BDJS"|"Automotive Resource Corporation"|""|""|"Jul 12, 2007"
"BBFQ"|"Automotive Supply"|"False"|"BDJT"|"Automotive Supply Company"|""|""|"Jul 12, 2007"
"BBFR"|"Automotive Undercar"|"False"|"BDJV"|"Automotive Undercar Products"|""|""|"Jul 12, 2007"
"BBFS"|"B&B Fabrication"|"False"|"BDKF"|"B&B Fabrication Inc"|""|""|"May 25, 2021"
"BBFT"|"B&M"|"False"|"BLVW"|"Holley Performance Brands"|""|""|"Sep 03, 2025"
"BBFV"|"BWP"|"False"|"BDKH"|"BWP Inc"|""|""|"Jul 12, 2007"
"BBFW"|"Balcrank"|"False"|"BDKJ"|"Balcrank Corporation Inc"|""|""|"Jul 28, 2021"
"BBFX"|"Balkamp"|"False"|"BDKL"|"Balkamp Inc"|""|""|"Apr 21, 2023"
"BBFZ"|"BRK"|"False"|"BDKQ"|"BDT Canada"|""|""|"Jul 12, 2007"
"BBGB"|"Beck/Arnley"|"False"|"BGLB"|"DRiV Incorporated"|""|""|"Apr 29, 2022"
"BBGC"|"Belltech"|"False"|"CRVS"|"KW Automotive North America Inc"|""|""|"Apr 27, 2022"
"BBGF"|"Berryman"|"False"|"BDKT"|"Berryman Products Inc"|"HZVJ"|"Professional"|"Oct 28, 2024"
"BBGG"|"Best Value"|"False"|"BDKV"|"Best Value Gaskets"|""|""|"Jul 12, 2007"
"BBGJ"|"Better Brake Parts"|"False"|"BDKX"|"Better Brake Parts Inc"|""|""|"Apr 27, 2022"
"BBGK"|"Big Boy"|"False"|"BDLC"|"Big Boy Products"|""|""|"Jul 12, 2007"
"BBGL"|"Bilstein"|"False"|"CVLH"|"ThyssenKrupp Automotive Group"|""|""|"Apr 28, 2022"
"BBGM"|"Porto-Power - Archived"|"False"|"HYYW"|"Archived Brands"|""|""|"Apr 26, 2023"
"BBGN"|"Blackhawk"|"False"|"BGDL"|"Stanley Black & Decker Inc"|""|""|"Feb 01, 2024"
"BBGP"|"Baja Tough"|"False"|"HFFK"|"Tiger Accessory Group"|""|""|"May 26, 2021"
"BBGQ"|"Pathfinder"|"False"|"HFFK"|"Tiger Accessory Group"|""|""|"May 26, 2021"
"BBGR"|"BLD"|"False"|"BDLM"|"BLD Products Ltd"|""|""|"May 25, 2021"
"BBGS"|"Champ"|"False"|"BGDK"|"Standard Motor Products Inc"|""|""|"Apr 28, 2022"
"BBGT"|"True-Tech"|"False"|"BGDK"|"Standard Motor Products Inc"|""|""|"Apr 28, 2022"
"BBGV"|"Hygrade Tuneup"|"False"|"BGDK"|"Standard Motor Products Inc"|""|""|"Apr 28, 2022"
"BBGW"|"Bluestar Battery"|"False"|"BDLP"|"Bluestar Battery"|""|""|"Jul 12, 2007"
"BBGX"|"Bonar"|"False"|"BDLQ"|"Bonar Packaging"|""|""|"Jul 12, 2007"
"BBGZ"|"Bonded Motors"|"False"|"BDLR"|"Bonded Motors Inc"|""|""|"Jul 12, 2007"
"BBHB"|"Brute"|"False"|"BGDK"|"Standard Motor Products Inc"|""|""|"Apr 28, 2022"
"BBHC"|"Niehoff"|"False"|"BGDK"|"Standard Motor Products Inc"|""|""|"Apr 28, 2022"
"BBHD"|"Pace Setter"|"False"|"BGDK"|"Standard Motor Products Inc"|""|""|"Apr 28, 2022"
"BBHF"|"Whittaker"|"False"|"BGDK"|"Standard Motor Products Inc"|""|""|"Apr 28, 2022"
"BBHG"|"Whitco"|"False"|"HRQC"|"MasterTop Inc"|""|""|"Mar 01, 2021"
"BBHH"|"BRExhaust"|"False"|"GJKV"|"Car Sound Exhaust System Inc"|""|""|"Jan 23, 2025"
"BBHJ"|"Brospeed - Archived"|"False"|"HYYW"|"Archived Brands"|""|""|"Feb 04, 2021"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"BSSK"|"Diagnostic"|"Mar 26, 2024"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"FVKL"|"Gauges"|"Mar 26, 2024"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"GNCK"|"QuietCast"|"Mar 26, 2024"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"GNCP"|"Long Life"|"Mar 26, 2024"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"GNCQ"|"Distance Plus"|"Mar 26, 2024"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"GNCR"|"Excel+"|"Mar 26, 2024"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"GNCS"|"DirectConnect"|"Mar 26, 2024"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"GNCT"|"ICON"|"Mar 26, 2024"
"BBHK"|"Bosch"|"False"|"BDLV"|"Robert Bosch LLC"|"GNCV"|"Evolution"|"Mar 26, 2024"
